match,teamInnings,battingPos,runs,balls,4s,6s,SR,batsmanName,out/not_out,match_id
Namibia Vs Sri Lanka,Namibia,1,3,6,0,0,50.00,Michael van Lingen,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,2,9,9,1,0,100.00,Divan la Cock,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,3,20,12,1,2,166.66,Jan Nicol Loftie-Eaton,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,4,26,24,2,0,108.33,Stephan Baard,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,5,20,24,0,0,83.33,Gerhard Erasmus(c),out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,6,44,28,4,0,157.14,Jan Frylinck,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,7,0,1,0,0,0.00,David Wiese,out,T20I # 1823
Namibia Vs Sri Lanka,Namibia,8,31,16,2,2,193.75,JJ Smit,not out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,1,9,10,1,0,90.00,Pathum Nissanka,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,2,6,6,0,0,100.00,Kusal Mendis,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,3,12,11,1,0,109.09,Dhananjaya de Silva,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,4,0,1,0,0,0.00,Danushka Gunathilaka,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,5,20,21,2,0,95.23,Bhanuka Rajapaksa,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,6,29,23,2,1,126.08,Dasun Shanaka(c),out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,7,4,8,0,0,50.00,Wanindu Hasaranga de Silva,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,8,5,8,0,0,62.50,Chamika Karunaratne,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,9,0,0,0,0,-,Pramod Madushan,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,10,8,15,0,0,53.33,Dushmantha Chameera,out,T20I # 1823
Namibia Vs Sri Lanka,Sri Lanka,11,11,11,0,1,100.00,Maheesh Theekshana,not out,T20I # 1823
U.A.E. Vs Netherlands,U.A.E.,1,12,20,1,0,60.00,Chirag Suri,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,2,41,47,1,2,87.23,Muhammad Waseem,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,3,15,14,0,1,107.14,Kashif Daud,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,4,18,21,0,0,85.71,Vriitya Aravind,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,5,2,4,0,0,50.00,Zawar Farid,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,6,4,4,1,0,100.00,Basil Hameed,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,7,1,2,0,0,50.00,Chundangapoyil Rizwan(c),out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,8,5,7,0,0,71.42,Aayan Afzal Khan,out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,9,0,0,0,0,-,Karthik Meiyappan,not out,T20I # 1825
U.A.E. Vs Netherlands,U.A.E.,10,0,1,0,0,0.00,Junaid Siddique,not out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,1,10,7,2,0,142.85,Vikramjit Singh,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,2,23,18,3,1,127.77,Max O'Dowd,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,3,14,18,1,0,77.77,Bas de Leede,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,4,17,19,1,0,89.47,Colin Ackermann,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,5,8,16,0,0,50.00,Tom Cooper,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,6,16,19,0,0,84.21,Scott Edwards(c),not out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,7,0,2,0,0,0.00,Roelof van der Merwe,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,8,15,16,0,0,93.75,Tim Pringle,out,T20I # 1825
U.A.E. Vs Netherlands,Netherlands,9,4,4,0,0,100.00,Logan van Beek,not out,T20I # 1825
Scotland Vs West Indies,Scotland,1,66,53,9,0,124.52,George Munsey,not out,T20I # 1826
Scotland Vs West Indies,Scotland,2,20,17,3,0,117.64,Michael Jones,out,T20I # 1826
Scotland Vs West Indies,Scotland,3,3,5,0,0,60.00,Matthew Cross,out,T20I # 1826
Scotland Vs West Indies,Scotland,4,16,14,0,1,114.28,Richie Berrington(c),out,T20I # 1826
Scotland Vs West Indies,Scotland,5,23,14,4,0,164.28,Calum MacLeod,out,T20I # 1826
Scotland Vs West Indies,Scotland,6,4,6,0,0,66.66,Michael Leask,out,T20I # 1826
Scotland Vs West Indies,Scotland,7,16,11,2,0,145.45,Chris Greaves,not out,T20I # 1826
Scotland Vs West Indies,West Indies,1,20,13,3,1,153.84,Kyle Mayers,out,T20I # 1826
Scotland Vs West Indies,West Indies,2,14,13,1,1,107.69,Evin Lewis,out,T20I # 1826
Scotland Vs West Indies,West Indies,3,17,15,3,0,113.33,Brandon King,out,T20I # 1826
Scotland Vs West Indies,West Indies,4,5,9,0,0,55.55,Nicholas Pooran(c),out,T20I # 1826
Scotland Vs West Indies,West Indies,5,4,9,0,0,44.44,Shamarh Brooks,out,T20I # 1826
Scotland Vs West Indies,West Indies,6,5,6,0,0,83.33,Rovman Powell,out,T20I # 1826
Scotland Vs West Indies,West Indies,7,38,33,4,1,115.15,Jason Holder,out,T20I # 1826
Scotland Vs West Indies,West Indies,8,1,1,0,0,100.00,Akeal Hosein,out,T20I # 1826
Scotland Vs West Indies,West Indies,9,0,1,0,0,0.00,Alzarri Joseph,out,T20I # 1826
Scotland Vs West Indies,West Indies,10,5,8,0,0,62.50,Odean Smith,out,T20I # 1826
Scotland Vs West Indies,West Indies,11,2,3,0,0,66.66,Obed McCoy,not out,T20I # 1826
Zimbabwe Vs Ireland,Zimbabwe,1,0,2,0,0,0.00,Regis Chakabva,out,T20I # 1828
Zimbabwe Vs Ireland,Zimbabwe,2,9,12,1,0,75.00,Craig Ervine(c),out,T20I # 1828
Zimbabwe Vs Ireland,Zimbabwe,3,22,19,4,0,115.78,Wessly Madhevere,out,T20I # 1828
Zimbabwe Vs Ireland,Zimbabwe,4,12,11,0,1,109.09,Sean Williams,out,T20I # 1828
Zimbabwe Vs Ireland,Zimbabwe,5,82,48,5,5,170.83,Sikandar Raza,out,T20I # 1828
Zimbabwe Vs Ireland,Zimbabwe,6,16,14,1,0,114.28,Milton Shumba,out,T20I # 1828
Zimbabwe Vs Ireland,Zimbabwe,7,1,4,0,0,25.00,Ryan Burl,out,T20I # 1828
Zimbabwe Vs Ireland,Zimbabwe,8,20,10,3,0,200.00,Luke Jongwe,not out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,1,0,2,0,0,0.00,Paul Stirling,out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,2,3,4,0,0,75.00,Andy Balbirnie(c),out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,3,11,11,2,0,100.00,Lorcan Tucker,out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,4,1,4,0,0,25.00,Harry Tector,out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,5,27,22,1,0,122.72,Curtis Campher,out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,6,24,20,3,0,120.00,George Dockrell,out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,7,24,20,1,1,120.00,Gareth Delany,out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,8,9,10,0,1,90.00,Mark Adair,out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,9,0,1,0,0,0.00,Simi Singh,out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,10,22,16,1,2,137.50,Barry McCarthy,not out,T20I # 1828
Zimbabwe Vs Ireland,Ireland,11,7,11,1,0,63.63,Josh Little,not out,T20I # 1828
Namibia Vs Netherlands,Namibia,1,20,19,3,0,105.26,Michael van Lingen,out,T20I # 1830
Namibia Vs Netherlands,Namibia,2,0,2,0,0,0.00,Divan la Cock,out,T20I # 1830
Namibia Vs Netherlands,Namibia,3,19,22,0,0,86.36,Stephan Baard,out,T20I # 1830
Namibia Vs Netherlands,Namibia,4,0,2,0,0,0.00,Jan Nicol Loftie-Eaton,out,T20I # 1830
Namibia Vs Netherlands,Namibia,5,43,48,1,1,89.58,Jan Frylinck,out,T20I # 1830
Namibia Vs Netherlands,Namibia,6,16,18,0,0,88.88,Gerhard Erasmus(c),out,T20I # 1830
Namibia Vs Netherlands,Namibia,7,11,5,1,0,220.00,David Wiese,not out,T20I # 1830
Namibia Vs Netherlands,Namibia,8,5,4,1,0,125.00,JJ Smit,not out,T20I # 1830
Namibia Vs Netherlands,Netherlands,1,35,35,1,1,100.00,Max O'Dowd,out,T20I # 1830
Namibia Vs Netherlands,Netherlands,2,39,31,3,2,125.80,Vikramjit Singh,out,T20I # 1830
Namibia Vs Netherlands,Netherlands,3,30,30,2,0,100.00,Bas de Leede,not out,T20I # 1830
Namibia Vs Netherlands,Netherlands,4,6,6,1,0,100.00,Tom Cooper,out,T20I # 1830
Namibia Vs Netherlands,Netherlands,5,0,2,0,0,0.00,Colin Ackermann,out,T20I # 1830
Namibia Vs Netherlands,Netherlands,6,1,5,0,0,20.00,Scott Edwards(c),out,T20I # 1830
Namibia Vs Netherlands,Netherlands,7,8,9,0,0,88.88,Tim Pringle,not out,T20I # 1830
Sri Lanka Vs U.A.E.,Sri Lanka,1,74,60,6,2,123.33,Pathum Nissanka,out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,2,18,13,2,0,138.46,Kusal Mendis,out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,3,33,21,3,1,157.14,Dhananjaya de Silva,out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,4,5,8,0,0,62.50,Bhanuka Rajapaksa,out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,5,0,1,0,0,0.00,Charith Asalanka,out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,6,0,1,0,0,0.00,Dasun Shanaka(c),out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,7,2,3,0,0,66.66,Wanindu Hasaranga de Silva,out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,8,8,11,1,0,72.72,Chamika Karunaratne,out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,9,1,1,0,0,100.00,Pramod Madushan,not out,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,10,1,1,0,0,100.00,Dushmantha Chameera,not out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,1,2,4,0,0,50.00,Muhammad Waseem,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,2,14,19,3,0,73.68,Chirag Suri,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,3,1,3,0,0,33.33,Aryan Lakra,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,4,1,3,0,0,33.33,Chundangapoyil Rizwan(c),out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,5,9,18,1,0,50.00,Vriitya Aravind,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,6,2,6,0,0,33.33,Basil Hameed,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,7,19,21,1,0,90.47,Aayan Afzal Khan,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,8,0,4,0,0,0.00,Kashif Daud,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,9,4,8,0,0,50.00,Karthik Meiyappan,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,10,18,16,1,1,112.50,Junaid Siddique,out,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,11,1,1,0,0,100.00,Zahoor Khan,not out,T20I # 1832
Scotland Vs Ireland,Scotland,1,1,2,0,0,50.00,George Munsey,out,T20I # 1833
Scotland Vs Ireland,Scotland,2,86,55,6,4,156.36,Michael Jones,out,T20I # 1833
Scotland Vs Ireland,Scotland,3,28,21,5,0,133.33,Matthew Cross,out,T20I # 1833
Scotland Vs Ireland,Scotland,4,37,27,3,1,137.03,Richie Berrington(c),out,T20I # 1833
Scotland Vs Ireland,Scotland,5,17,13,2,0,130.76,Michael Leask,not out,T20I # 1833
Scotland Vs Ireland,Scotland,6,0,3,0,0,0.00,Calum MacLeod,out,T20I # 1833
Scotland Vs Ireland,Ireland,1,8,10,1,0,80.00,Paul Stirling,out,T20I # 1833
Scotland Vs Ireland,Ireland,2,14,12,2,0,116.66,Andy Balbirnie(c),out,T20I # 1833
Scotland Vs Ireland,Ireland,3,20,17,2,0,117.64,Lorcan Tucker,out,T20I # 1833
Scotland Vs Ireland,Ireland,4,14,16,1,0,87.50,Harry Tector,out,T20I # 1833
Scotland Vs Ireland,Ireland,5,72,32,7,2,225.00,Curtis Campher,not out,T20I # 1833
Scotland Vs Ireland,Ireland,6,39,27,4,1,144.44,George Dockrell,not out,T20I # 1833
West Indies Vs Zimbabwe,West Indies,1,13,12,2,0,108.33,Kyle Mayers,out,T20I # 1834
West Indies Vs Zimbabwe,West Indies,2,45,36,3,2,125.00,Johnson Charles,out,T20I # 1834
West Indies Vs Zimbabwe,West Indies,3,15,18,1,0,83.33,Evin Lewis,out,T20I # 1834
West Indies Vs Zimbabwe,West Indies,4,7,9,0,0,77.77,Nicholas Pooran(c),out,T20I # 1834
West Indies Vs Zimbabwe,West Indies,5,28,21,1,2,133.33,Rovman Powell,out,T20I # 1834
West Indies Vs Zimbabwe,West Indies,6,0,3,0,0,0.00,Shamarh Brooks,out,T20I # 1834
West Indies Vs Zimbabwe,West Indies,7,4,3,0,0,133.33,Jason Holder,out,T20I # 1834
West Indies Vs Zimbabwe,West Indies,8,23,18,2,0,127.77,Akeal Hosein,not out,T20I # 1834
West Indies Vs Zimbabwe,West Indies,9,1,2,0,0,50.00,Odean Smith,not out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,1,27,19,3,1,142.10,Wessly Madhevere,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,2,13,9,3,0,144.44,Regis Chakabva(c),out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,3,2,6,0,0,33.33,Tony Munyonga,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,4,1,2,0,0,50.00,Sean Williams,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,5,14,8,1,1,175.00,Sikandar Raza,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,6,2,9,0,0,22.22,Milton Shumba,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,7,17,19,3,0,89.47,Ryan Burl,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,8,29,22,3,1,131.81,Luke Jongwe,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,9,2,6,0,0,33.33,Richard Ngarava,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,10,3,8,0,0,37.50,Tendai Chatara,out,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,11,1,4,0,0,25.00,Blessing Muzarabani,not out,T20I # 1834
Sri Lanka Vs Netherlands,Sri Lanka,1,14,21,0,1,66.66,Pathum Nissanka,out,T20I # 1835
Sri Lanka Vs Netherlands,Sri Lanka,2,79,44,5,5,179.54,Kusal Mendis,out,T20I # 1835
Sri Lanka Vs Netherlands,Sri Lanka,3,0,1,0,0,0.00,Dhananjaya de Silva,out,T20I # 1835
Sri Lanka Vs Netherlands,Sri Lanka,4,31,30,3,0,103.33,Charith Asalanka,out,T20I # 1835
Sri Lanka Vs Netherlands,Sri Lanka,5,19,13,2,0,146.15,Bhanuka Rajapaksa,out,T20I # 1835
Sri Lanka Vs Netherlands,Sri Lanka,6,8,5,0,1,160.00,Dasun Shanaka(c),out,T20I # 1835
Sri Lanka Vs Netherlands,Sri Lanka,7,5,4,0,0,125.00,Wanindu Hasaranga de Silva,not out,T20I # 1835
Sri Lanka Vs Netherlands,Sri Lanka,8,2,2,0,0,100.00,Chamika Karunaratne,not out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,1,71,53,6,3,133.96,Max O'Dowd,not out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,2,7,14,0,0,50.00,Vikramjit Singh,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,3,14,10,1,1,140.00,Bas de Leede,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,4,0,1,0,0,0.00,Colin Ackermann,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,5,16,19,2,0,84.21,Tom Cooper,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,6,21,15,3,0,140.00,Scott Edwards(c),out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,7,2,4,0,0,50.00,Tim Pringle,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,8,0,1,0,0,0.00,Timm van der Gugten,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,9,3,3,0,0,100.00,Fred Klaassen,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,10,0,0,0,0,-,Paul van Meekeren,out,T20I # 1835
Sri Lanka Vs Netherlands,Netherlands,11,0,1,0,0,0.00,Roelof van der Merwe,not out,T20I # 1835
U.A.E. Vs Namibia,U.A.E.,1,50,41,1,3,121.95,Muhammad Waseem,out,T20I # 1836
U.A.E. Vs Namibia,U.A.E.,2,21,32,2,0,65.62,Vriitya Aravind,out,T20I # 1836
U.A.E. Vs Namibia,U.A.E.,3,43,29,3,1,148.27,Chundangapoyil Rizwan(c),not out,T20I # 1836
U.A.E. Vs Namibia,U.A.E.,4,4,4,0,0,100.00,Alishan Sharafu,out,T20I # 1836
U.A.E. Vs Namibia,U.A.E.,5,25,14,2,2,178.57,Basil Hameed,not out,T20I # 1836
U.A.E. Vs Namibia,Namibia,1,10,8,1,0,125.00,Michael van Lingen,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,2,4,6,1,0,66.66,Stephan Baard,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,3,1,6,0,0,16.66,Jan Nicol Loftie-Eaton,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,4,16,18,2,0,88.88,Gerhard Erasmus(c),out,T20I # 1836
U.A.E. Vs Namibia,Namibia,5,14,17,1,0,82.35,Jan Frylinck,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,6,3,3,0,0,100.00,JJ Smit,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,7,55,36,3,3,152.77,David Wiese,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,8,2,3,0,0,66.66,Zane Green,out,T20I # 1836
U.A.E. Vs Namibia,Namibia,9,25,24,1,1,104.16,Ruben Trumpelmann,not out,T20I # 1836
U.A.E. Vs Namibia,Namibia,10,1,1,0,0,100.00,Bernard Scholtz,not out,T20I # 1836
West Indies Vs Ireland,West Indies,1,1,5,0,0,20.00,Kyle Mayers,out,T20I # 1837
West Indies Vs Ireland,West Indies,2,24,18,3,1,133.33,Johnson Charles,out,T20I # 1837
West Indies Vs Ireland,West Indies,3,13,18,0,0,72.22,Evin Lewis,out,T20I # 1837
West Indies Vs Ireland,West Indies,4,62,48,6,1,129.16,Brandon King,not out,T20I # 1837
West Indies Vs Ireland,West Indies,5,13,11,0,1,118.18,Nicholas Pooran(c),out,T20I # 1837
West Indies Vs Ireland,West Indies,6,6,8,1,0,75.00,Rovman Powell,out,T20I # 1837
West Indies Vs Ireland,West Indies,7,19,12,1,2,158.33,Odean Smith,not out,T20I # 1837
West Indies Vs Ireland,Ireland,1,66,48,6,2,137.50,Paul Stirling,not out,T20I # 1837
West Indies Vs Ireland,Ireland,2,37,23,3,3,160.86,Andy Balbirnie(c),out,T20I # 1837
West Indies Vs Ireland,Ireland,3,45,35,2,2,128.57,Lorcan Tucker,not out,T20I # 1837
Scotland Vs Zimbabwe,Scotland,1,54,51,7,0,105.88,George Munsey,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,2,4,5,1,0,80.00,Michael Jones,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,3,1,7,0,0,14.28,Matthew Cross,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,4,13,15,0,0,86.66,Richie Berrington(c),out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,5,25,26,1,0,96.15,Calum MacLeod,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,6,12,9,2,0,133.33,Michael Leask,out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,7,3,7,0,0,42.85,Chris Greaves,not out,T20I # 1838
Scotland Vs Zimbabwe,Scotland,8,4,3,0,0,133.33,Josh Davey,not out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,1,4,3,1,0,133.33,Regis Chakabva,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,2,58,54,6,0,107.40,Craig Ervine(c),out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,3,0,5,0,0,0.00,Wessly Madhevere,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,4,7,12,0,0,58.33,Sean Williams,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,5,40,23,3,2,173.91,Sikandar Raza,out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,6,11,11,0,0,100.00,Milton Shumba,not out,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,7,9,5,1,0,180.00,Ryan Burl,not out,T20I # 1838
New Zealand Vs Australia,New Zealand,1,42,16,5,3,262.50,Finn Allen,out,T20I # 1839
New Zealand Vs Australia,New Zealand,2,92,58,7,2,158.62,Devon Conway,not out,T20I # 1839
New Zealand Vs Australia,New Zealand,3,23,23,1,1,100.00,Kane Williamson(c),out,T20I # 1839
New Zealand Vs Australia,New Zealand,4,12,10,2,0,120.00,Glenn Phillips,out,T20I # 1839
New Zealand Vs Australia,New Zealand,5,26,13,0,2,200.00,James Neesham,not out,T20I # 1839
New Zealand Vs Australia,Australia,1,5,6,1,0,83.33,David Warner,out,T20I # 1839
New Zealand Vs Australia,Australia,2,13,11,1,1,118.18,Aaron Finch(c),out,T20I # 1839
New Zealand Vs Australia,Australia,3,16,12,2,1,133.33,Mitchell Marsh,out,T20I # 1839
New Zealand Vs Australia,Australia,4,28,20,3,1,140.00,Glenn Maxwell,out,T20I # 1839
New Zealand Vs Australia,Australia,5,7,14,0,0,50.00,Marcus Stoinis,out,T20I # 1839
New Zealand Vs Australia,Australia,6,11,8,0,1,137.50,Tim David,out,T20I # 1839
New Zealand Vs Australia,Australia,7,2,4,0,0,50.00,Matthew Wade,out,T20I # 1839
New Zealand Vs Australia,Australia,8,21,18,2,1,116.66,Pat Cummins,out,T20I # 1839
New Zealand Vs Australia,Australia,9,4,7,0,0,57.14,Mitchell Starc,out,T20I # 1839
New Zealand Vs Australia,Australia,10,0,2,0,0,0.00,Adam Zampa,out,T20I # 1839
New Zealand Vs Australia,Australia,11,1,1,0,0,100.00,Josh Hazlewood,not out,T20I # 1839
Afghanistan Vs England,Afghanistan,1,7,17,1,0,41.17,Hazratullah Zazai,out,T20I # 1840
Afghanistan Vs England,Afghanistan,2,10,9,0,1,111.11,Rahmanullah Gurbaz,out,T20I # 1840
Afghanistan Vs England,Afghanistan,3,32,32,3,1,100.00,Ibrahim Zadran,out,T20I # 1840
Afghanistan Vs England,Afghanistan,4,30,30,3,0,100.00,Usman Ghani,out,T20I # 1840
Afghanistan Vs England,Afghanistan,5,13,11,0,1,118.18,Najibullah Zadran,out,T20I # 1840
Afghanistan Vs England,Afghanistan,6,3,5,0,0,60.00,Mohammad Nabi(c),out,T20I # 1840
Afghanistan Vs England,Afghanistan,7,8,6,1,0,133.33,Azmatullah Omarzai,out,T20I # 1840
Afghanistan Vs England,Afghanistan,8,0,1,0,0,0.00,Rashid Khan,out,T20I # 1840
Afghanistan Vs England,Afghanistan,9,0,1,0,0,0.00,Mujeeb Ur Rahman,out,T20I # 1840
Afghanistan Vs England,Afghanistan,10,2,4,0,0,50.00,Fareed Ahmad,not out,T20I # 1840
Afghanistan Vs England,Afghanistan,11,0,2,0,0,0.00,Fazalhaq Farooqi,out,T20I # 1840
Afghanistan Vs England,England,1,18,18,3,0,100.00,Jos Buttler(c),out,T20I # 1840
Afghanistan Vs England,England,2,19,20,0,1,95.00,Alex Hales,out,T20I # 1840
Afghanistan Vs England,England,3,18,30,0,0,60.00,Dawid Malan,out,T20I # 1840
Afghanistan Vs England,England,4,2,4,0,0,50.00,Ben Stokes,out,T20I # 1840
Afghanistan Vs England,England,5,29,21,3,0,138.09,Liam Livingstone,not out,T20I # 1840
Afghanistan Vs England,England,6,7,6,0,0,116.66,Harry Brook,out,T20I # 1840
Afghanistan Vs England,England,7,8,10,0,0,80.00,Moeen Ali,not out,T20I # 1840
Ireland Vs Sri Lanka,Ireland,1,34,25,4,1,136.00,Paul Stirling,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,2,1,5,0,0,20.00,Andy Balbirnie(c),out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,3,10,11,1,0,90.90,Lorcan Tucker,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,4,45,42,2,1,107.14,Harry Tector,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,5,2,4,0,0,50.00,Curtis Campher,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,6,14,16,0,0,87.50,George Dockrell,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,7,9,6,1,0,150.00,Gareth Delany,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,8,0,1,0,0,0.00,Mark Adair,out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,9,7,8,1,0,87.50,Simi Singh,not out,T20I # 1841
Ireland Vs Sri Lanka,Ireland,10,2,2,0,0,100.00,Barry McCarthy,not out,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,1,68,43,5,3,158.13,Kusal Mendis,not out,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,2,31,25,2,1,124.00,Dhananjaya de Silva,out,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,3,31,22,2,0,140.90,Charith Asalanka,not out,T20I # 1841
Pakistan Vs India,Pakistan,1,4,12,1,0,33.33,Mohammad Rizwan,out,T20I # 1842
Pakistan Vs India,Pakistan,2,0,1,0,0,0.00,Babar Azam(c),out,T20I # 1842
Pakistan Vs India,Pakistan,3,52,42,5,0,123.80,Shan Masood,not out,T20I # 1842
Pakistan Vs India,Pakistan,4,51,34,2,4,150.00,Iftikhar Ahmed,out,T20I # 1842
Pakistan Vs India,Pakistan,5,5,6,1,0,83.33,Shadab Khan,out,T20I # 1842
Pakistan Vs India,Pakistan,6,2,4,0,0,50.00,Haider Ali,out,T20I # 1842
Pakistan Vs India,Pakistan,7,9,6,2,0,150.00,Mohammad Nawaz,out,T20I # 1842
Pakistan Vs India,Pakistan,8,2,3,0,0,66.66,Asif Ali,out,T20I # 1842
Pakistan Vs India,Pakistan,9,16,8,1,1,200.00,Shaheen Shah Afridi,out,T20I # 1842
Pakistan Vs India,Pakistan,10,6,4,0,1,150.00,Haris Rauf,not out,T20I # 1842
Pakistan Vs India,India,1,4,8,0,0,50.00,KL Rahul,out,T20I # 1842
Pakistan Vs India,India,2,4,7,0,0,57.14,Rohit Sharma(c),out,T20I # 1842
